state,target,city
Alabama,"Etowah County, Alabama",County
Alabama,"Bessemer city, Alabama",City
Alabama,"Birmingham city, Alabama",City
Alabama,"Gadsden city, Alabama",City
Alabama,"Calhoun County, Alabama",County
Alabama,"Houston County, Alabama",County
Alabama,"Jefferson County, Alabama",County
Alabama,"Lauderdale County, Alabama",County
Alabama,"Marshall County, Alabama",County
Alabama,"Mobile County, Alabama",County
Alabama,"Montgomery County, Alabama",County
Alabama,"Morgan County, Alabama",County
Alabama,"Tuscaloosa County, Alabama",County
Alabama,"Dothan city, Alabama",City
Alabama,"Enterprise city, Alabama",City
Alabama,"Florence city, Alabama",City
Alabama,"Homewood city, Alabama",City
Alabama,"Mobile city, Alabama",City
Alabama,"Montgomery city, Alabama",City
Alabama,"Phenix City city, Alabama",City
Alabama,"Decatur city, Alabama",City
Arizona,"Cochise County, Arizona",County
Arizona,"Navajo County, Arizona",County
Alabama,"Huntsville city, Alabama",City
Arkansas,"Garland County, Arkansas",County
Arkansas,"Pulaski County, Arkansas",County
Arkansas,"Sebastian County, Arkansas",County
Alabama,"Opelika city, Alabama",City
Alabama,"Prattville city, Alabama",City
Alabama,"Tuscaloosa city, Alabama",City
Alaska,"Fairbanks city, Alaska",City
Alaska,"Kenai Peninsula Borough, Alaska",Borough
California,"Imperial County, California",County
Alaska,"Fairbanks North Star Borough, Alaska",Borough
Alaska,"Juneau City and Borough, Alaska",Borough
California,"Humboldt County, California",County
Alaska,"Matanuska-Susitna Borough, Alaska",Borough
Alaska,"Juneau city and borough, Alaska",Borough
Arizona,"Apache Junction city, Arizona",City
Arizona,"Bullhead City city, Arizona",City
Arizona,"Casa Grande city, Arizona",City
Arizona,"Catalina Foothills CDP, Arizona",Census Defined Place (CDP)
Colorado,"Pueblo County, Colorado",County
Arizona,"Drexel Heights CDP, Arizona",Census Defined Place (CDP)
Arizona,"Kingman city, Arizona",City
Arizona,"Phoenix city, Arizona",City
Arizona,"Sierra Vista city, Arizona",City
Arizona,"Tempe city, Arizona",City
Arizona,"Tucson city, Arizona",City
Arkansas,"Pine Bluff city, Arkansas",City
Arkansas,"Hot Springs city, Arkansas",City
Arkansas,"Little Rock city, Arkansas",City
Arkansas,"North Little Rock city, Arkansas",City
Arkansas,"Texarkana city, Arkansas",City
Arkansas,"West Memphis city, Arkansas",City
Florida,"Alachua County, Florida",County
Florida,"Citrus County, Florida",County
Florida,"Duval County, Florida",County
Florida,"Highlands County, Florida",County
Florida,"Indian River County, Florida",County
Florida,"Leon County, Florida",County
Florida,"Marion County, Florida",County
Florida,"Okaloosa County, Florida",County
Florida,"St. Lucie County, Florida",County
Florida,"Seminole County, Florida",County
Arkansas,"Bella Vista city, Arkansas",City
Arkansas,"Benton city, Arkansas",City
Arkansas,"Bentonville city, Arkansas",City
Arkansas,"Fort Smith city, Arkansas",City
Arkansas,"Jacksonville city, Arkansas",City
Arkansas,"Jonesboro city, Arkansas",City
Arkansas,"Rogers city, Arkansas",City
Arkansas,"Russellville city, Arkansas",City
California,"Brawley city, California",City
California,"Calexico city, California",City
